,cls,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,lat,lon,day
55,55.0,,,,,,,,,,-1.00703019845,-1.23758040715,-1.26181159155,-1.2801832183,-1.36017371375,-1.17062426151,-1.17258653532,-1.13707589467,-1.35615302555,-1.45653809666,-1.52579631046,-1.48469496209,-1.54721755372,-1.14067555573,-0.519187615731,14.5369306055,121.016424915,20150417
56,56.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6762653457,121.051665971,20150417
57,57.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5469070462,121.051407761,20150417
58,58.0,,,,,,,,,,,,,,,,,,,,,,,,,14.7043302816,121.033935454,20150417
59,59.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5718729587,121.093603875,20150417
60,60.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5402079288,120.947163021,20150417
61,61.0,,,,,,,,,,-0.393740655326,-0.509340240983,-0.662927857316,-0.785243187973,-0.562266885265,-0.620493794391,-0.606190940778,-0.647265704632,-0.720830746827,-0.807106278512,-0.804333933845,-0.684694810101,-0.561583691066,-0.568649613493,-0.204590378568,14.5339365415,120.982772096,20150417
62,62.0,,,,,,,,,,,,,,,,,,,,,,,,,14.4940571738,121.006367664,20150417
63,63.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5565494192,121.048076607,20150417
64,64.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6151722693,120.982521923,20150417
65,65.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5509559737,121.003712843,20150417
66,66.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6607381,121.116120438,20150417
67,67.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5999185692,120.997513379,20150417
68,68.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5614673994,121.013023012,20150417
69,69.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5941630736,121.058216366,20150417
70,70.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5734048195,121.048524574,20150417
71,71.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6185470222,120.990865857,20150417
72,72.0,,,,,,,,,,,,,,,,,,,,,,,,,14.54006682,121.033701757,20150417
73,73.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6782449217,121.031528192,20150417
74,74.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5919880375,121.067696528,20150417
75,75.0,,,,,,,,,,,,,,,,,,,,,,,,,14.4328683405,120.997751367,20150417
76,76.0,,,,,,,,,,,,,,,,,,,,,,,,,14.658475155,121.054368167,20150417
77,77.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6901860319,121.090344478,20150417
78,78.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6406965714,121.058830677,20150417
79,79.0,,,,,,,,,,-0.386071336597,-0.446626694539,-0.553353281986,-0.629261387966,-0.58149782137,-0.430396998131,-0.327401890108,-0.490234273463,-0.375106849928,-0.557561812026,-0.458145185938,-0.448303672508,-0.513669752447,-0.397208823624,-0.189320223804,14.654289995,121.074178619,20150417
80,80.0,,,,,,,,,,,,,,,,,,,,,,,,,14.622284407,121.04878546,20150417
81,81.0,,,,,,,,,,,,,,,,,,,,,,,,,14.714746,121.098786,20150417
82,82.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6254923155,121.066347068,20150417
83,83.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6074904967,121.04577868,20150417
84,84.0,,,,,,,,,,,,,,,,,,,,,,,,,14.617306244,121.003786396,20150417
85,85.0,,,,,,,,,,,,,,,,,,,,,,,,,14.658405625,120.998260625,20150417
86,86.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6436729682,121.045140359,20150417
87,87.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5149049127,120.994822073,20150417
88,88.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5656612023,120.990496157,20150417
89,89.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6358829231,120.974919615,20150417
